Timestamp,CPU,MEMORY
26.11.2015 06:05:00,115,229
26.11.2015 06:10:00,112,163
26.11.2015 06:15:00,121,161
26.11.2015 06:20:00,113,341
26.11.2015 06:25:00,113,131
26.11.2015 06:30:00,114,139
26.11.2015 06:35:00,115,172
26.11.2015 06:40:00,114,155
26.11.2015 06:45:00,116,139
26.11.2015 06:50:00,115,111
26.11.2015 06:55:00,128,237
26.11.2015 07:00:00,114,603
26.11.2015 07:05:00,121,237
26.11.2015 07:10:00,112,352
26.11.2015 07:15:00,120,213
26.11.2015 07:20:00,115,352
26.11.2015 07:25:00,124,305
26.11.2015 07:30:00,114,382
26.11.2015 07:35:00,112,141
26.11.2015 07:40:00,110,98
26.11.2015 07:45:00,113,114
26.11.2015 07:50:00,114,177
26.11.2015 07:55:00,121,213
26.11.2015 08:00:00,114,491
26.11.2015 08:05:00,126,436
26.11.2015 08:10:00,159,324
26.11.2015 08:15:00,122,406
26.11.2015 08:20:00,113,352
26.11.2015 08:25:00,117,193
26.11.2015 08:30:00,114,368
26.11.2015 08:35:00,113,139
26.11.2015 08:40:00,114,131
26.11.2015 08:45:00,114,87
26.11.2015 08:50:00,113,131
26.11.2015 08:55:00,121,202
26.11.2015 09:00:00,113,589
26.11.2015 09:05:00,119,338
26.11.2015 09:10:00,115,376
26.11.2015 09:15:00,115,185
26.11.2015 09:20:00,116,163
26.11.2015 09:25:00,120,199
26.11.2015 09:30:00,113,319
26.11.2015 09:35:00,118,147
26.11.2015 09:40:00,123,283
26.11.2015 09:45:00,137,581
26.11.2015 09:50:00,138,805
26.11.2015 09:55:00,133,663
26.11.2015 10:00:00,113,639
26.11.2015 10:05:00,110,229
26.11.2015 10:10:00,111,136
26.11.2015 10:15:00,168,546
26.11.2015 10:20:00,116,870
26.11.2015 10:25:00,119,382
26.11.2015 10:30:00,113,387
26.11.2015 10:35:00,160,529
26.11.2015 10:40:00,112,726
26.11.2015 10:45:00,122,374
26.11.2015 10:50:00,113,496
26.11.2015 10:55:00,132,308
26.11.2015 11:00:00,118,630
26.11.2015 11:05:00,108,319
26.11.2015 11:10:00,117,229
26.11.2015 11:15:00,171,791
26.11.2015 11:20:00,120,720
26.11.2015 11:25:00,157,712
26.11.2015 11:30:00,156,1073
26.11.2015 11:35:00,140,950
26.11.2015 11:40:00,170,1015
26.11.2015 11:45:00,144,933
26.11.2015 11:50:00,138,857
26.11.2015 11:55:00,131,587
26.11.2015 12:00:00,125,821
26.11.2015 12:05:00,135,657
26.11.2015 12:10:00,112,920
26.11.2015 12:15:00,119,387
26.11.2015 12:20:00,112,319
26.11.2015 12:25:00,113,95
26.11.2015 12:30:00,117,82
26.11.2015 12:35:00,113,57
26.11.2015 12:40:00,112,84
26.11.2015 12:45:00,123,240
26.11.2015 12:50:00,112,464
26.11.2015 12:55:00,120,196
26.11.2015 13:00:00,110,426
26.11.2015 13:05:00,118,259
26.11.2015 13:10:00,129,584
26.11.2015 13:15:00,112,516
26.11.2015 13:20:00,120,412
26.11.2015 13:25:00,121,330
26.11.2015 13:30:00,131,688
26.11.2015 13:35:00,119,475
26.11.2015 13:40:00,111,327
26.11.2015 13:45:00,120,229
26.11.2015 13:50:00,134,524
